,M,F,
0~4,0.691765865,0.765794005,RelativeWalkingTime
5~14,0.802634744,0.594519282,
15~29,0.578715235,1,
30~44,0.879364364,0.71004532,
45~59,1.111485061,1.286520876,
60~69,1.527017683,0.859282644,
70~79,0.308874659,0.753890471,
80+,0.760056707,0.134523145,
,,,
0~4,2.020755969,1.743401118,RelativeCyclingTime
5~14,3.57867457,2.339517225,
15~29,1.943064761,1,
30~44,3.186609819,2.700275986,
45~59,5.201885828,0.699680267,
60~69,3.235218025,0.238691431,
70~79,2.313392984,0.562679146,
80+,4.688030093,0.01,
,,,
0~4,1.06625104471452,0.87533447251902,RelativeWalkingSpeed
5~14,1.06625104471452,0.87533447251902,
15~29,1.02062318469296,1.00021072099910,
30~44,1.05904664576375,1.03383124943604,
45~59,1.03923454864912,0.94737846202676,
60~69,1.03022904996066,0.93296966412521,
70~79,0.95098066150214,0.89694766937134,
80+,0.95098066150214,0.89694766937134,
,,,
0~4,0.84739474343726,0.83745444694719,RelativeCyclingSpeed
5~14,0.89201119875320,0.98171847430894,
15~29,1.07209968592556,0.95696550895019,
30~44,1.07348727461944,0.98047195259287,
45~59,1.15649519900625,0.96279225292112,
60~69,1.06307166564280,0.92915629547236,
70~79,1.02933865953429,0.84850875826748,
80+,0.90228329150939,0.83081180869134,