,,Baseline,,Scenario,
PersonDistance(miles per day),walk,0.231429498,,0.449455623,
,bike,0.166198407,,0.086433332,
,bus,0.439055421,,0.282430577,
,car,27.06778989,,18.55561078,
,rail,0.089065083,,,
,truck,1.704419754,,7.66444E-07,
,,,, ,
,motorcycle,0.127883472,,0.127883472,
,,,,,
Distribution by road type,walk,0.75,local,0.75,local
,bike,0.53,,0.53,
,bus,0.364,,0.07504875,
,car,0.177569107,,0.081099844,
,,,,,
,truck,0.177569107,,0.07504875,
,,,,,
,motorcycle,0.177569107,,0.081099844,
,,,,,
,walk,0.25,arterial,0.25,local
,bike,0.47,,0.47,
,bus,0.626,,0.252611108,
,car,0.253451848,,0.28830773,
,,,,,
,truck,0.253451848,,0.252611108,
,,,,,
,motorcycle,0.253451848,,0.28830773,
,,,,,
,walk,6.67E-08,highway,6.67E-08,highway
,bike,6.67E-08,,6.67E-08,
,bus,0.01,,0.672340142,
,car,0.568979045,,0.630592426,
,,,,,
,truck,0.568979045,,0.672340142,
,,,,,
,motorcycle,0.568979045,,0.630592426,
,,,,,
,,,,,
Occupancy,walk,1,,1,
,bike,1,,1,
,bus,10,,10,
,car,1.747637087,,1.334341557,
,, ,, ,
,truck,1,,1,
,,,,,
,motorcycle,1.000699877,,1.000699877,