,,Baseline_NHW,,Scenario_NHW,,Baseline_NHB,,Scenario_NHB,,Baseline_NHO,,Scenario_NHO,,Baseline_HO,,Scenario_HO
PersonDistance(miles per day),bike,0.17,,0.5,,0.17,,0.5,,0.17,,0.5,,0.17,,0.5
,walk,0.23,,0.46,,0.23,,0.46,,0.23,,0.46,,0.23,,0.46
,motorcycle,0.13,,0.13,,0.13,,0.13,,0.13,,0.13,,0.13,,0.13
,car,27.07,,26,,27.07,,26,,27.07,,26,,27.07,,26
,bus,0.44,,0.88,,0.44,,0.88,,0.44,,0.88,,0.44,,0.88
,truck,1.7,,1.7,,1.7,,1.7,,1.7,,1.7,,1.7,,1.7
,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,,0.53,local,0.53,,0.53,local,0.53
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18
,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,,0.47,arterial,0.47,,0.47,arterial,0.47
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25
,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,,0.000001,highway,0.000001,,0.000001,highway,0.000001
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57
,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1
,walk,1,,1,,1,,1,,1,,1,,1,,1
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75
,bus,10,,10,,10,,10,,10,,10,,10,,10
,truck,1,,1,,1,,1,,1,,1,,1,,1