,M,F,,,,,,,,,,,
0~4,0.691765865,0.765794005,RelativeWalkingTime,,,,,"[1,]",74273,72250,,,
5~14,0.802634744,0.594519282,,,,,,"[2,]",160624,156371,,,
15~29,0.578715235,1,,,,,,"[3,]",253460,238706,,,
30~44,0.879364364,0.71004532,,,,,,"[4,]",201847,206423,,,
45~59,1.111485061,1.286520876,,,,,,"[5,]",231438,244046,,,
60~69,1.527017683,0.859282644,,,,,,"[6,]",104963,119364,,,
70~79,0.308874659,0.753890471,,,,,,"[7,]",55362,67298,,,
80+,0.760056707,0.134523145,,,,,,"[8,]",32184,46846,,,
,,,,,,,,,,,,,
0~4,2.020755969,1.743401118,RelativeCyclingTime,,,,,,,,,,
5~14,3.57867457,2.339517225,,,,,,"[1,]",1.654005,1.67468,,0.289811001,0.293433628
15~29,1.943064761,1,,,,,,"[2,]",9.094977,9.296527,,1.593601224,1.628916357
30~44,3.186609819,2.700275986,,,,,,"[3,]",4.988826,5.707185,,0.874130767,1
45~59,5.201885828,0.699680267,,,,,,"[4,]",3.606472,4.405842,,0.631917837,0.771981634
60~69,3.235218025,0.238691431,,,,,,"[5,]",3.564637,4.162787,,0.624587603,0.729394088
70~79,2.313392984,0.562679146,,,,,,"[6,]",2.873716,3.645033,,0.503525994,0.638674408
80+,4.688030093,0.01,,,,,,"[7,]",2.677799,3.210395,,0.469197862,0.562518124
,,,,,,,,"[8,]",2.461973,3.427081,,0.43138132,0.600485353
0~4,1.066251045,0.875334473,RelativeWalkingSpeed,,,,,,,,,,
5~14,1.066251045,0.875334473,,,,,,,,,,,
15~29,1.020623185,1.000210721,,,,,,,,,,,
30~44,1.059046646,1.033831249,,,,,,,,,,,
45~59,1.039234549,0.947378462,,,,,,,,,,,
60~69,1.03022905,0.932969664,,,,,,,,,,,
70~79,0.950980662,0.896947669,,,,,,,,,,,
80+,0.950980662,0.896947669,,,,,,,,,,,
,,,,,,,,,,,,,
0~4,0.847394743,0.837454447,RelativeCyclingSpeed,,,,,,,,,,
5~14,0.892011199,0.981718474,,,,,,,,,,,
15~29,1.072099686,0.956965509,,,,,,,,,,,
30~44,1.073487275,0.980471953,,,,,,,,,,,
45~59,1.156495199,0.962792253,,,,,,,,,,,
60~69,1.063071666,0.929156295,,,,,,,,,,,
70~79,1.02933866,0.848508758,,,,,,,,,,,
80+,0.902283292,0.830811809,,,,,,,,,,,