Age,deaths,yll,yld,daly
maleAgeClass 1,17260.9,1477720,230448,1708170
maleAgeClass 2,3410.87,257784,993560,1251344
maleAgeClass 3,38217.05,2414062,2842737,5256800
maleAgeClass 4,59056.5,2827164,3317770,6144930
maleAgeClass 5,193402.2,6528940,4277770,10806720
maleAgeClass 6,216858,5022180,2428680,7450870
maleAgeClass 7,279365,4090260,1649038,5739290
maleAgeClass 8,495094,3151360,1234730,4386080
femaleAgeClass 1,13576,1162690,212497,1375190
femaleAgeClass 2,2382.74,181224.6,900620,1081844
femaleAgeClass 3,13507.15,853481,3052753,3906230
femaleAgeClass 4,33898.59,1608672,3788930,5397610
femaleAgeClass 5,123702.1,4166700,4890110,9056810
femaleAgeClass 6,158446.9,3653880,2760530,6414400
femaleAgeClass 7,242288,3513900,2024012,5537910
femaleAgeClass 8,773500,4235380,2085010,6320380