,deaths_NHW,deaths_NHB,deaths_NHO,deaths_HO
maleAgeClass 1,0.333333333,0,0,0
maleAgeClass 2,0.333333333,0.000490151,0,0
maleAgeClass 3,6.333333333,0.143405134,0.333333333,1
maleAgeClass 4,15.66666667,0.675880517,1.333333333,1
maleAgeClass 5,78.66666667,2.757018633,4.333333333,4
maleAgeClass 6,126.3333333,4.417302244,6.666666667,9.333333333
maleAgeClass 7,193,0.702323542,8.666666667,13.66666667
maleAgeClass 8,452,0,18.33333333,19.33333333
femaleAgeClass 1,1,0.011683096,0,0
femaleAgeClass 2,0.333333333,0,0,0
femaleAgeClass 3,1.666666667,0.03555912,0.333333333,1
femaleAgeClass 4,7,0.30578642,1.333333333,0.333333333
femaleAgeClass 5,46.66666667,2.035646124,2,3.333333333
femaleAgeClass 6,91.33333333,3.143020105,4.333333333,4.333333333
femaleAgeClass 7,164.6666667,0,6,6
femaleAgeClass 8,629.3333333,0,22.66666667,23