,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_Other,,Scenario2020_Other,,Scenario2036_Other,
PersonDistance(miles per day),bike,0.03835516,,0.03641766,,0.04571788,,0.06483354,,0.05052278,,0.05892747,
,walk,0.10240558,,0.11073233,,0.11889758,,0.13467957,,0.12652695,,0.13183513,
,motorcycle,0.51025255,,0.60844303,,0.4893831,,0.4211341,,0.50822093,,0.40924993,
,car,22.96136464,,27.37993647,,22.02223961,,18.95103428,,22.86994178,,18.41624703,
,bus,0.51025255,,0.60844303,,0.4893831,,0.4211341,,0.50822093,,0.40924993,
,truck,1.53075764,,1.8253291,,1.46814931,,1.26340229,,1.52466279,,1.2277498,
,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,bus,10,,10,,10,,10,,10,,10,
,truck,1,,1,,1,,1,,1,,1,