"","male.Demogr.1","female.Demogr.1","male.Demogr.2","female.Demogr.2","male.Demogr.3","female.Demogr.3","male.Demogr.4","female.Demogr.4","",""
"ageCat1","0.213590175522177","0.292369377154043","0.314382063731656","0.168805623025869","0.260016903494878","0.421057789186192","0.396328778683022","0.534500808572116","relative.walk.time","ELD"
"ageCat2","1.83184173417715","2.57186368657597","1.84547563588348","1.82493600043021","1.75108131282425","2.13051261369436","2.02569455509671","2.27161512809089","",""
"ageCat3","0.881267708621173","1","0.870513941848107","1","0.850778574538929","1","1.10980876549876","1","",""
"ageCat4","0.599464528843741","0.844701259675138","0.792763393262315","0.925571562128033","0.762203799196263","0.943716170823795","1.07296107090152","0.996673965844219","",""
"ageCat5","0.504593690894741","0.689529055722759","0.706799271884881","0.668366085952221","0.791399896125188","0.789146956357227","1.03784808679543","0.893950126089913","",""
"ageCat6","0.382114426564788","0.765066327641707","0.470845044831479","0.656831763511766","0.573523036317171","0.688464012183218","0.758446796532426","1.14125691405241","",""
"ageCat7","0.418875673789568","0.617744214927678","0.758899059625818","0.57549032818151","0.538751343274769","0.496175780335587","0.701358723575885","0.591527095724817","",""
"ageCat8","0.357667752294553","0.776815646552655","0.482103058661833","0.370146551642705","0.440526684958712","0.341769242894114","0.613671252920951","0.447166168262748","",""
"","","","","","","","","","",""
"ageCat1","0.344035624685061","0.0035617515978794","0.382389646136912","1.41618669931697","0.826961605042241","0.697899765564627","0.398851381747765","0.459866833779252","relative.cycle.time",""
"ageCat2","3.30886240724284","1.42000187636024","5.66548981416133","1.89990280725094","3.48072369898157","1.64636954357668","2.48581397860135","1.00162710736179","",""
"ageCat3","1.70485952441041","1","2.76337154502538","1","1.41492188356623","1","0.96813864551413","1","",""
"ageCat4","1.07386875234336","0.521197042448481","1.10443521033902","0.254213726607796","1.09259744947064","0.375026421229508","0.672797279078648","0.434066759789211","",""
"ageCat5","1.08381802773631","0.352261555645692","1.35468011472407","0.442419689047357","0.604475227591414","0.153082984000981","0.428686564040582","0.149243144031014","",""
"ageCat6","0.384007965120449","0.0784193867261725","0.679544963313162","0.134733453834801","0.287003543276835","0.200148352036655","0.326591622311504","0.205735171010129","",""
"ageCat7","0.482060102224363","0.36486642116851","0.669030397612242","0.276650938948877","0.640610398123135","0.236124449264604","0.25877468751752","0.136915997251194","",""
"ageCat8","0.357755026748896","0.145551731804907","0.301034422183544","0.630483380228814","0.650263707348878","0.207679002118942","0.271355532653364","0.114738707382494","",""
"","","","","","","","","","",""
"ageCat1","1.00043870419043","0.999579386911036","1.00077301275339","0.999140596753174","0.998387369722084","0.999824825859986","1.00034077916906","1.00034230866385","relative.walk.speed",""
"ageCat2","1.00028123812587","0.999704938803496","1.00018883332843","1.00050285002721","1.00003303945887","1.00009967517549","0.999877537628323","0.999922816062099","",""
"ageCat3","0.99991008908605","1","1.00021482026635","1","1.00018163397283","1","0.999934045964305","1","",""
"ageCat4","0.999812899119867","0.999910967348949","1.00000883099313","1.00023179271079","1.00037968546008","0.999989011989168","1.0001982331693","0.999886827716342","",""
"ageCat5","0.999720443026787","0.999585193301939","1.0004416206185","1.0003693537563","0.999933381564721","1.00015067870581","0.999897793920137","0.999686444758277","",""
"ageCat6","1.00081079075765","1.0004233355587","1.00062081874224","1.00024899669347","1.00086205373735","1.0003154971902","0.999341797336787","0.999883752086244","",""
"ageCat7","1.00048083367638","0.999818915624682","1.00025422879068","1.00008702512416","0.999978293291669","1.00038031109547","0.999454902734526","1.00011743039161","",""
"ageCat8","0.999787199402797","0.999832004091737","1.0004332037188","1.00020934044779","0.999621904417917","1.00057239790132","1.00003773440909","1.0002401596928","",""
"","","","","","","","","","",""
"ageCat1","1.00041497219686","0.983606557377049","1.00019935937907","1.00064288707095","0.999558992701713","1.00013669592699","1.00028319564458","1.00002371085378","relative.cycle.speed",""
"ageCat2","1.00010779997499","0.999969237395023","1.00011269780455","0.999833496620843","0.999923087353346","0.999765813000888","1.0000112322943","1.00005300824703","",""
"ageCat3","1.00016287781837","1","0.999995363633633","1","0.999928145523286","1","0.999850797322495","1","",""
"ageCat4","1.00024077046549","0.999842569269521","1.00010608857217","1.00010687109037","0.999753771695016","0.999592929357046","0.999896729219648","0.99997879722125","",""
"ageCat5","0.999956743288721","0.999900059964022","0.999918951389151","1.00014883932915","1.00007092580452","1.0000196341808","0.999849536150021","1.00033680661368","",""
"ageCat6","0.999615926257841","1.00119760479042","1.00008962710555","1.00033403751924","0.999557197394251","1.00018373739226","1.0001380102751","1.00007787474261","",""
"ageCat7","0.99981648008809","1.00036758914037","1.00001148644153","1.00051567269038","1.00002794228987","1.00048300000408","0.999954493571339","1.00053809675274","",""
"ageCat8","1.00011377858687","0.998678341318354","0.999168981572049","1.00040029336086","0.999723515443448","0.999810374051145","0.999994326047979","0.999304674788636","",""
"","","","","","","","","","",""
"ageCat1","0.237788556070034","0.249800348439359","0.315038440984217","0.322256061007753","0.525282639499982","0.418298264640553","0.37621923137969","0.400702238893375","relative.walk.time","PLA"
"ageCat2","2.30140630962234","2.29496837366351","1.84034958285157","1.98397276839336","2.00669987712904","2.09640447650374","1.70331490048149","1.80659874267578","",""
"ageCat3","0.960306022440379","1","0.81578011158683","1","0.96277157341181","1","0.85072294444307","1","",""
"ageCat4","0.784137817071438","0.962662569263966","0.722236139542833","0.817821500383005","0.860479325742588","0.86347780706529","0.791180944624202","0.760912737885554","",""
"ageCat5","0.828906438111358","1.12555610878686","0.685738666740379","0.841869438205377","0.856085037107494","0.849313581239289","0.811660931384579","0.836324809665172","",""
"ageCat6","0.578135967249035","0.900932963505783","0.567032890572742","0.649264140074602","0.612291024205606","0.6724550937806","0.621983116531928","0.65406171355188","",""
"ageCat7","0.456928914171447","1.14978502087297","0.512296332850827","0.55244500689422","0.584564946211372","0.56219664103233","0.483921906324846","0.426437196300088","",""
"ageCat8","0.50416655482748","0.723297256949836","0.422453288104744","0.597647970661298","0.449566076426789","0.463399381010879","0.304857250963494","0.299468422352789","",""
"","","","","","","","","","",""
"ageCat1","0.600923126410521","0.341684859958374","0.643114019689331","0.4684288178995","0.5511756689995","0.257767031914372","1.09623502207027","0.476781358686336","relative.cycle.time",""
"ageCat2","2.85538255845343","1.5758751303021","3.63163378543082","2.03870358378531","3.97537195028365","1.84919026817439","4.37139451321708","2.25832752135045","",""
"ageCat3","2.06078203104622","1","2.47000782694817","1","1.98449946532659","1","2.37368513263667","1","",""
"ageCat4","1.49722168862587","0.637885804031975","1.84506810266336","0.735203465529558","1.3639963182095","0.621875690713371","1.62991722231973","0.746706747523377","",""
"ageCat5","1.55570941514047","0.428515134970436","1.31123503537603","0.344323945734408","1.06782497266214","0.367441679152572","1.15608223952763","0.536193167655676","",""
"ageCat6","0.693048496706712","0.276485958715595","1.15120792015704","0.484044696502775","0.631076385695151","0.316565360367975","0.648550953846986","0.417747392379726","",""
"ageCat7","0.736718180345135","0.270525434142389","0.81825351026683","0.472581869787418","0.791413011136394","0.3993831569824","0.568427316624352","0.699160622274196","",""
"ageCat8","0.478625331014713","0.260053575800422","0.683038648349402","0.396835738973981","0.74935875638201","0.161169535426033","1.14568093768539","0.315300888233832","",""
"","","","","","","","","","",""
"ageCat1","1.00015381208835","1.00001249947472","1.0007498466248","0.999627279234428","0.999944557015321","0.999842097264854","1.00035239774631","0.999952635023811","relative.walk.speed",""
"ageCat2","1.00013950058093","1.0002221283914","0.999946548073065","1.00010623140548","1.00001081768938","0.999990852313621","0.999960671885803","0.999942150299093","",""
"ageCat3","0.999830298440789","1","1.00016850174613","1","0.999957591350659","1","0.999917309450822","1","",""
"ageCat4","1.00003507381067","0.999965961787034","1.00020989471645","1.00012182017298","1.00010060393489","1.0000255358529","1.0000973355757","0.999951494100501","",""
"ageCat5","0.999994742628714","1.00020310167609","1.0001388252269","1.00000171281053","1.00013272950288","1.00011047758326","0.999963945905164","0.999921935337916","",""
"ageCat6","1.0000755145444","0.999966088915685","0.999988959649302","1.0002233420257","1.00013829454397","1.00019701409156","1.00005439451607","0.999825235183269","",""
"ageCat7","1.00019484235278","1.00012134556923","1.00020640987466","0.999817909793904","1.00017107566864","1.00001084825028","0.999875980844546","0.999859541320664","",""
"ageCat8","1.00003291372315","0.999996449721767","1.00008489233765","1.00018718381648","0.999715993491764","1.00019720764608","0.999565927298392","1.00001061456171","",""
"","","","","","","","","","",""
"ageCat1","0.999797636687566","0.999882961070769","1.00006325519846","0.999843650697092","0.999987546287346","1.00031609931963","1.00006918234359","0.999806589440084","relative.cycle.speed",""
"ageCat2","1.00005596110776","0.999953409426946","1.00000564012983","1.00011145177986","1.00006943095622","0.999870926912191","0.999887776308422","1.00001107709871","",""
"ageCat3","0.999890597269904","1","1.00008854332445","1","1.0000282211794","1","0.999944640024302","1","",""
"ageCat4","1.00005405880502","1.00002027829738","1.00005048502837","1.0001082298549","1.00010965617125","1.00002577591564","0.999912634010368","1.00002984651739","",""
"ageCat5","0.999953918065809","0.999906019797439","1.0001400628002","1.00002139963358","1.00003394239833","0.999871517574455","0.999924860287148","0.999922678235507","",""
"ageCat6","1.00010756078038","1.00018742142326","0.99996949057103","1.00004966929648","0.999863262566724","0.999852779858633","1.00040219344298","0.999943875766053","",""
"ageCat7","0.999802099605164","0.999552268137833","1.00028188538463","1.00001736951545","1.0001092308631","1.00041594979956","0.999951569477119","1.00026996107085","",""
"ageCat8","0.999753550723129","1.00000378132265","1.00040844785862","0.99993591561374","1.0002515354019","1.00020602211192","0.999964088902818","0.999673389595442","",""
"","","","","","","","","","",""
"ageCat1","0.191405636146108","0.172332669080466","0.273531148122964","0.260220454580732","0.298575029349731","0.342334846834802","0.426176730960684","0.334472121350978","relative.walk.time","SAC"
"ageCat2","1.38736863928102","1.42305919832302","1.34747130084617","1.33866625182783","1.28106686329919","1.33090569014739","1.27039999223416","1.36069838751729","",""
"ageCat3","0.794368325075269","1","0.852676438159269","1","0.856613644686397","1","0.886088601778316","1","",""
"ageCat4","0.692556189756963","0.909963740621179","0.715988970875626","0.908763454883217","0.81674038889768","0.897385400015949","0.848237692164595","0.907468253988042","",""
"ageCat5","0.687035064670748","0.857096906514672","0.708391066682978","0.861523127839519","0.804795496180265","0.949959079223299","0.873190256771462","0.983495312493332","",""
"ageCat6","0.561034043664051","0.732178283061223","0.631910066095112","0.734417175619135","0.678100935682855","0.797386369842563","0.783847759965094","0.814799464189195","",""
"ageCat7","0.474067965656057","0.563299826010238","0.555499258019442","0.592914764250007","0.513822142628159","0.542589874170832","0.634577610825181","0.563904450674544","",""
"ageCat8","0.419910197907327","0.592267816372924","0.519612392360683","0.608954355575907","0.436435153537623","0.44853649186794","0.509812571705131","0.434120907250094","",""
"","","","","","","","","","",""
"ageCat1","0.235001222035877","0.127511940323044","0.443468510557039","0.162709025232952","0.648108686600846","0.235969825236825","0.80978978677043","0.330716975943083","relative.cycle.time",""
"ageCat2","1.50376811448418","0.784027838513395","1.59105730975335","0.869273674290818","1.86856618868007","0.942655192886769","2.03861905306777","0.948185594273969","",""
"ageCat3","2.12045670533529","1","2.18278320573956","1","2.10217656389744","1","2.16979399259481","1","",""
"ageCat4","1.77389647351169","0.607611770863114","1.85952873605145","0.767549472594655","1.858615173204","0.618806373813337","1.77337834546405","0.672820754123806","",""
"ageCat5","1.49206464511763","0.544101966227748","1.43755274303608","0.596581916198753","1.43724534427226","0.632847822816319","1.39911039424433","0.511815200795949","",""
"ageCat6","1.01521835395666","0.500147623781218","1.05221377232963","0.448785294378528","1.17892240946033","0.406659286905505","1.14765531398696","0.420496334748371","",""
"ageCat7","0.858286195496284","0.389068567798085","0.914963585020158","0.347486554451081","1.01343290164275","0.421663783287544","1.02301090400353","0.343541005898177","",""
"ageCat8","0.706545583199439","0.397528861033799","0.767122641919911","0.447007454372024","0.75344263539652","0.300044346125827","0.666239643324868","0.353357176045898","",""
"","","","","","","","","","",""
"ageCat1","1.00010992917416","1.00004800713904","1.00023285009266","1.00013508402576","0.999960703713465","0.999951611143752","0.999990188624435","0.999889284115608","relative.walk.speed",""
"ageCat2","1.00006922017889","1.0000769745161","1.00001655863919","1.00002407990171","0.999938345415878","1.0000128767451","0.999988204330382","0.999971370458034","",""
"ageCat3","0.999958042647008","1","0.999991250536653","1","0.999943322554807","1","1.00005372443163","1","",""
"ageCat4","1.00012828276865","1.00009632386541","1.0000662185586","1.00003985545952","0.999992147489374","0.999922624560464","1.00005039164254","1.00009725492646","",""
"ageCat5","1.00005573424832","1.00011486605507","0.999955457428635","1.00003515535952","0.999903634921009","0.999959946771711","1.00008788053153","1.00009648459148","",""
"ageCat6","1.00011279506064","1.00006852585941","1.00009635837253","0.999989624106145","1.00003717686235","0.999977900873932","1.0000724485632","1.00005761919955","",""
"ageCat7","1.00007547699415","1.00008879667667","1.0001058421568","1.00001895280278","1.00003393537771","1.00002703550702","1.00017564231483","0.99990302480347","",""
"ageCat8","1.00008452907692","1.00009135374023","1.00009954808573","1.00004097123725","1.00009543458916","0.999912853232751","0.999933992592443","0.999952616132414","",""
"","","","","","","","","","",""
"ageCat1","1.00000907731054","0.999901992195046","1.00003113786715","0.99995721061677","0.999937251841842","1.00018174877746","1.00007427987536","1.00012210777225","relative.cycle.speed",""
"ageCat2","0.999952913751784","0.999990245535469","1.00000302077563","1.00006326678442","0.999995298146831","1.00004719661544","1.0000393239105","1.0000403358449","",""
"ageCat3","0.999975711802423","1","1.00001152050544","1","1.00001557176341","1","1.00000438966297","1","",""
"ageCat4","0.999965412163512","1.00000055672211","1.00003280543637","0.999984088226423","1.00004413717117","0.999978730432951","1.00000916042005","0.999940708525165","",""
"ageCat5","1.00001509240564","1.00002474410006","1.00001975403506","1.00006681663985","1.0000230342325","1.00001679233358","1.00000035357165","1.00006513834403","",""
"ageCat6","1.00000544864014","1.00001124613479","1.00000971283071","0.999976584154472","1.0001182746623","1.00003963223978","1.00001081179968","1.0000975940506","",""
"ageCat7","0.99998748145296","0.999966842611068","0.999967133018955","1.00004939121621","0.999964331639963","0.999975002327345","1.00007081422531","0.99994662579268","",""
